                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3378,                 1.9183,                 1.4628,                0.43015,                0.47543,                0.37292,                 0.2199,                 1.3581,                 2.1451,                 1.4291,              0.0033257,              0.0033257,              0.0033257
                      2,                 1.3283,                 1.4419,                 1.4211,                0.43134,                 0.4222,                0.35332,                0.20799,                 1.4751,                 2.1087,                 1.5145,              0.0065931,              0.0065931,              0.0065931
                      3,                 1.3939,                 1.4538,                 1.4706,                0.39421,                0.39654,                0.30364,                0.16996,                 1.6587,                 2.3135,                 1.6643,              0.0097945,              0.0097945,              0.0097945
                      4,                  1.449,                 1.4641,                  1.512,                 0.4233,                0.42303,                0.33281,                0.19539,                 1.6223,                 2.1085,                 1.6361,               0.009703,               0.009703,               0.009703
                      5,                 1.4338,                 1.4063,                 1.5102,                0.39735,                0.42766,                0.33628,                 0.1989,                 1.5636,                 2.0728,                 1.5915,               0.009703,               0.009703,               0.009703
                      6,                 1.4061,                 1.3491,                  1.488,                0.41696,                0.41322,                 0.3438,                0.20604,                 1.5218,                 2.0508,                 1.5681,               0.009604,               0.009604,               0.009604
                      7,                 1.3836,                 1.3102,                 1.4682,                0.43181,                0.45098,                0.35594,                 0.2129,                  1.519,                 1.9337,                 1.5472,               0.009505,               0.009505,               0.009505
                      8,                 1.3633,                 1.2729,                 1.4599,                0.39027,                0.44145,                0.34631,                0.20882,                 1.5236,                 1.9481,                 1.5419,               0.009406,               0.009406,               0.009406
                      9,                 1.3586,                 1.2551,                 1.4576,                0.41463,                0.45828,                0.34694,                 0.2096,                 1.4906,                 1.9918,                 1.5475,               0.009307,               0.009307,               0.009307
                     10,                 1.3406,                 1.2261,                 1.4358,                0.40879,                0.48007,                0.36766,                0.22643,                 1.4569,                 1.9505,                 1.5002,               0.009208,               0.009208,               0.009208
                     11,                 1.3352,                 1.2085,                 1.4366,                0.42494,                0.48835,                0.39063,                0.24197,                 1.4368,                 1.9463,                 1.4745,               0.009109,               0.009109,               0.009109
                     12,                 1.3108,                 1.1881,                 1.4228,                0.37971,                0.47518,                0.33721,                0.20682,                 1.4332,                 1.9723,                 1.4824,                0.00901,                0.00901,                0.00901
                     13,                 1.3162,                 1.1756,                 1.4186,                0.42023,                0.45619,                0.35812,                 0.2237,                 1.4471,                 1.9201,                 1.4978,               0.008911,               0.008911,               0.008911
                     14,                 1.3046,                 1.1733,                 1.4159,                 0.4011,                0.47476,                0.35971,                0.22372,                 1.4186,                 1.9509,                 1.4675,               0.008812,               0.008812,               0.008812
                     15,                 1.2973,                 1.1525,                 1.4121,                0.42931,                0.48048,                 0.3881,                0.24381,                 1.4156,                 1.8673,                 1.4683,               0.008713,               0.008713,               0.008713
                     16,                 1.2926,                 1.1384,                 1.4045,                0.41534,                0.50585,                0.37214,                0.23126,                 1.3801,                 1.9049,                 1.4411,               0.008614,               0.008614,               0.008614
                     17,                 1.2826,                 1.1279,                 1.4005,                0.41492,                0.49144,                0.37985,                0.24035,                 1.3852,                 1.8196,                 1.4304,               0.008515,               0.008515,               0.008515
                     18,                 1.2757,                 1.1168,                 1.3899,                0.41088,                0.49882,                0.38032,                0.24087,                  1.383,                 1.9452,                 1.4342,               0.008416,               0.008416,               0.008416
                     19,                 1.2689,                 1.1105,                 1.3852,                0.41341,                0.50389,                0.37362,                0.23455,                 1.3811,                 1.8678,                 1.4378,               0.008317,               0.008317,               0.008317
                     20,                 1.2549,                 1.0872,                 1.3747,                0.42922,                 0.5089,                0.40554,                0.25965,                 1.3591,                  1.807,                 1.4116,               0.008218,               0.008218,               0.008218
                     21,                 1.2515,                 1.0776,                 1.3735,                0.40582,                0.52076,                0.39963,                0.25289,                 1.3694,                 1.8052,                 1.4194,               0.008119,               0.008119,               0.008119
                     22,                 1.2538,                 1.0849,                 1.3762,                 0.4393,                0.49386,                0.39884,                0.25527,                 1.3587,                 1.8178,                 1.4103,                0.00802,                0.00802,                0.00802
                     23,                 1.2556,                 1.0752,                 1.3733,                0.42295,                0.51671,                0.40815,                0.26075,                 1.3401,                 1.7821,                 1.3999,               0.007921,               0.007921,               0.007921
                     24,                 1.2499,                 1.0686,                 1.3706,                0.42526,                0.50798,                0.39426,                0.25383,                 1.3287,                 1.8468,                 1.3995,               0.007822,               0.007822,               0.007822
                     25,                 1.2372,                 1.0619,                  1.366,                0.43114,                0.49326,                0.39174,                0.25028,                 1.3497,                 1.7983,                 1.4025,               0.007723,               0.007723,               0.007723
                     26,                 1.2353,                 1.0457,                 1.3598,                0.41738,                0.53064,                0.40623,                0.25969,                 1.3453,                 1.7716,                 1.4131,               0.007624,               0.007624,               0.007624
                     27,                 1.2336,                 1.0374,                 1.3548,                0.41308,                0.51858,                0.38424,                 0.2459,                 1.3383,                 1.8132,                 1.3968,               0.007525,               0.007525,               0.007525
                     28,                 1.2348,                 1.0487,                 1.3554,                0.41816,                0.52469,                0.39456,                0.25486,                 1.3319,                 1.8312,                 1.3976,               0.007426,               0.007426,               0.007426
                     29,                 1.2228,                 1.0203,                 1.3477,                0.41818,                0.53048,                0.40619,                0.26015,                 1.3378,                 1.7534,                 1.3959,               0.007327,               0.007327,               0.007327
                     30,                 1.2222,                 1.0226,                 1.3478,                0.42211,                0.52458,                0.41076,                 0.2642,                 1.3325,                 1.7223,                 1.3971,               0.007228,               0.007228,               0.007228
                     31,                 1.2235,                 1.0234,                 1.3504,                0.43451,                0.52722,                0.41236,                0.26517,                 1.3335,                 1.7383,                 1.3829,               0.007129,               0.007129,               0.007129
                     32,                 1.2114,                 1.0111,                 1.3417,                0.42233,                0.53045,                0.41108,                0.26512,                 1.3255,                 1.8151,                 1.3839,                0.00703,                0.00703,                0.00703
                     33,                 1.2068,                 1.0043,                 1.3391,                0.42639,                0.53666,                0.42172,                0.27172,                  1.319,                 1.8072,                 1.3895,               0.006931,               0.006931,               0.006931
                     34,                 1.2097,                  1.001,                 1.3405,                0.43389,                0.52914,                0.41995,                0.27291,                 1.3164,                 1.7931,                 1.3863,               0.006832,               0.006832,               0.006832
                     35,                 1.1939,                0.98521,                 1.3353,                0.41658,                0.53031,                  0.409,                0.26654,                 1.3095,                 1.8067,                  1.378,               0.006733,               0.006733,               0.006733
                     36,                 1.1981,                0.98737,                 1.3265,                0.46477,                0.53494,                0.43476,                0.28076,                 1.3083,                 1.7003,                 1.3761,               0.006634,               0.006634,               0.006634
                     37,                 1.1992,                0.98649,                 1.3332,                0.43136,                 0.5365,                 0.4173,                0.27177,                 1.3065,                 1.7665,                 1.3726,               0.006535,               0.006535,               0.006535
                     38,                 1.1969,                0.97856,                 1.3283,                0.43122,                  0.532,                0.42104,                0.27531,                 1.2979,                 1.7538,                 1.3621,               0.006436,               0.006436,               0.006436
                     39,                 1.1877,                0.97831,                 1.3251,                0.43627,                0.54341,                0.42772,                0.27714,                 1.3109,                 1.6991,                 1.3766,               0.006337,               0.006337,               0.006337
                     40,                 1.1865,                0.97462,                 1.3255,                0.42745,                 0.5189,                0.40994,                0.26806,                 1.3035,                 1.7919,                 1.3701,               0.006238,               0.006238,               0.006238
                     41,                 1.1845,                0.96474,                  1.321,                0.42739,                0.52706,                0.41918,                0.27387,                 1.2977,                 1.7478,                 1.3623,               0.006139,               0.006139,               0.006139
                     42,                 1.1868,                0.96074,                 1.3193,                0.43645,                0.52389,                0.41648,                 0.2717,                 1.2958,                 1.7602,                 1.3599,                0.00604,                0.00604,                0.00604
                     43,                 1.1768,                0.94925,                 1.3163,                0.42131,                0.54563,                0.42158,                0.27799,                 1.2978,                 1.7403,                  1.365,               0.005941,               0.005941,               0.005941
                     44,                 1.1729,                0.94501,                 1.3101,                 0.4307,                0.55261,                0.43144,                0.28007,                 1.2939,                 1.7032,                 1.3602,               0.005842,               0.005842,               0.005842
                     45,                 1.1783,                0.94849,                 1.3138,                0.42045,                 0.5491,                0.41338,                0.27096,                 1.2878,                  1.773,                 1.3574,               0.005743,               0.005743,               0.005743
                     46,                 1.1648,                0.93705,                 1.3055,                0.42515,                0.55728,                0.42466,                 0.2776,                 1.2807,                 1.7286,                   1.35,               0.005644,               0.005644,               0.005644
                     47,                 1.1651,                0.92917,                  1.306,                0.42961,                0.52869,                0.39966,                0.26098,                 1.2941,                 1.7992,                 1.3619,               0.005545,               0.005545,               0.005545
                     48,                 1.1681,                0.93446,                 1.3071,                0.43952,                0.55203,                  0.424,                0.27719,                 1.2832,                 1.7009,                 1.3505,               0.005446,               0.005446,               0.005446
                     49,                 1.1538,                0.91877,                 1.2957,                0.42922,                0.55056,                 0.4244,                0.27847,                 1.2817,                 1.7224,                 1.3545,               0.005347,               0.005347,               0.005347
                     50,                 1.1577,                 0.9217,                 1.3011,                0.43968,                0.53622,                0.41768,                0.27359,                 1.2914,                 1.7503,                 1.3616,               0.005248,               0.005248,               0.005248
                     51,                 1.1542,                 0.9252,                 1.3037,                 0.4271,                0.54225,                0.42204,                0.27861,                 1.2798,                 1.7638,                 1.3543,               0.005149,               0.005149,               0.005149
                     52,                 1.1522,                0.90871,                 1.3004,                0.44308,                0.54244,                 0.4299,                0.28215,                 1.2719,                 1.6795,                 1.3499,                0.00505,                0.00505,                0.00505
                     53,                 1.1522,                0.90864,                 1.2978,                0.44529,                0.52218,                0.42159,                0.27893,                 1.2811,                 1.7416,                 1.3488,               0.004951,               0.004951,               0.004951
                     54,                 1.1513,                0.90496,                 1.2925,                0.43084,                0.54553,                0.42915,                 0.2825,                 1.2808,                 1.7359,                 1.3506,               0.004852,               0.004852,               0.004852
                     55,                 1.1476,                0.90703,                 1.2931,                0.42267,                0.55584,                0.42866,                 0.2819,                 1.2805,                  1.721,                 1.3511,               0.004753,               0.004753,               0.004753
                     56,                 1.1404,                0.90324,                 1.2925,                0.43999,                0.55054,                0.43388,                0.28672,                 1.2722,                 1.6954,                 1.3453,               0.004654,               0.004654,               0.004654
                     57,                  1.141,                0.89656,                 1.2898,                0.42462,                0.55957,                 0.4268,                0.28127,                  1.273,                 1.6992,                 1.3453,               0.004555,               0.004555,               0.004555
                     58,                 1.1336,                0.88842,                 1.2806,                0.42816,                0.55708,                0.42276,                0.27973,                 1.2737,                  1.738,                 1.3461,               0.004456,               0.004456,               0.004456
                     59,                  1.127,                 0.8825,                 1.2789,                0.43531,                0.54382,                 0.4262,                0.28234,                 1.2694,                 1.7558,                  1.347,               0.004357,               0.004357,               0.004357
                     60,                   1.13,                0.88521,                 1.2812,                0.43905,                0.53834,                0.42969,                0.28522,                 1.2685,                 1.7422,                 1.3433,               0.004258,               0.004258,               0.004258
                     61,                 1.1222,                0.87802,                 1.2793,                 0.4337,                0.54424,                 0.4291,                0.28472,                 1.2685,                 1.7318,                 1.3472,               0.004159,               0.004159,               0.004159
                     62,                 1.1203,                0.87449,                 1.2783,                0.43906,                0.55264,                0.42994,                0.28354,                 1.2711,                 1.7233,                 1.3428,                0.00406,                0.00406,                0.00406
                     63,                 1.1259,                0.88288,                  1.281,                0.44503,                0.54748,                0.43774,                0.28829,                   1.27,                 1.7035,                 1.3383,               0.003961,               0.003961,               0.003961
                     64,                 1.1213,                0.86916,                 1.2747,                 0.4411,                0.54304,                0.42935,                0.28297,                 1.2671,                 1.7363,                 1.3442,               0.003862,               0.003862,               0.003862
                     65,                 1.1206,                 0.8657,                 1.2708,                0.44026,                0.55778,                0.43026,                0.28388,                 1.2668,                 1.7354,                 1.3399,               0.003763,               0.003763,               0.003763
                     66,                 1.1134,                0.86381,                 1.2671,                0.44001,                0.55714,                0.42836,                0.28304,                 1.2659,                 1.7359,                 1.3399,               0.003664,               0.003664,               0.003664
                     67,                 1.1054,                0.85863,                 1.2709,                0.44337,                0.55659,                0.43086,                0.28444,                 1.2667,                 1.7134,                 1.3424,               0.003565,               0.003565,               0.003565
                     68,                 1.1185,                0.85939,                 1.2685,                0.44493,                0.55941,                0.43418,                0.28592,                 1.2733,                 1.7273,                 1.3451,               0.003466,               0.003466,               0.003466
                     69,                 1.1044,                0.85174,                 1.2639,                0.44201,                 0.5531,                0.42942,                0.28253,                 1.2667,                 1.7056,                 1.3433,               0.003367,               0.003367,               0.003367
                     70,                 1.0995,                0.83865,                 1.2612,                0.44603,                0.55091,                0.42437,                 0.2794,                 1.2666,                 1.7166,                 1.3411,               0.003268,               0.003268,               0.003268
                     71,                 1.1025,                0.84196,                 1.2622,                0.45288,                 0.5408,                0.42948,                0.28507,                 1.2692,                 1.7335,                 1.3438,               0.003169,               0.003169,               0.003169
                     72,                 1.1042,                0.83967,                 1.2592,                0.45012,                0.54878,                0.43273,                0.28613,                 1.2707,                 1.7174,                 1.3413,                0.00307,                0.00307,                0.00307
                     73,                  1.098,                0.83694,                 1.2573,                0.44484,                 0.5538,                0.42983,                0.28534,                 1.2719,                 1.7362,                 1.3415,               0.002971,               0.002971,               0.002971
                     74,                 1.0956,                0.82802,                 1.2542,                0.44443,                0.54789,                0.42439,                0.28114,                 1.2693,                 1.7503,                 1.3391,               0.002872,               0.002872,               0.002872
                     75,                 1.0935,                0.82876,                 1.2559,                0.43917,                0.55555,                0.42742,                0.28379,                 1.2625,                 1.7314,                 1.3354,               0.002773,               0.002773,               0.002773
