                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5399,                 1.9341,                 1.5124,                0.51183,                0.50122,                0.46831,                0.21872,                 1.7947,                 1.8423,                 1.7164,             0.00055403,             0.00055403,             0.00055403
                      2,                 1.6319,                 1.8351,                 1.6023,                0.57407,                0.48173,                0.49235,                0.23738,                 1.7688,                 2.0469,                 1.7102,              0.0010987,              0.0010987,              0.0010987
                      3,                 1.6686,                  1.825,                 1.6432,                0.41214,                0.34233,                0.29716,                0.12147,                 2.0769,                 2.3623,                 2.1271,              0.0016324,              0.0016324,              0.0016324
                      4,                 1.6426,                 1.7809,                 1.6315,                0.53693,                0.49372,                0.49528,                0.24127,                 1.7403,                   1.87,                 1.7398,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6095,                 1.7337,                 1.6188,                0.60328,                0.51999,                0.56187,                0.28638,                 1.6791,                 1.6938,                 1.6674,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.5976,                 1.6914,                 1.6053,                0.59352,                0.55412,                0.58966,                0.30769,                 1.6177,                 1.6015,                  1.638,               0.001601,               0.001601,               0.001601
                      7,                 1.5718,                 1.6328,                 1.5791,                0.62391,                0.53808,                0.58557,                0.30569,                  1.649,                 1.5813,                 1.6354,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.5518,                 1.6162,                 1.5744,                0.62834,                0.56409,                0.60986,                0.32598,                  1.589,                 1.5388,                  1.604,               0.001568,               0.001568,               0.001568
                      9,                  1.536,                 1.5699,                  1.555,                0.66456,                0.57568,                0.63073,                0.33311,                 1.6225,                 1.5046,                 1.6016,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.5236,                 1.5494,                 1.5463,                0.60247,                0.56602,                0.58738,                0.30594,                 1.6278,                 1.5456,                 1.6316,               0.001535,               0.001535,               0.001535
                     11,                 1.5172,                 1.5384,                 1.5396,                0.65113,                0.56025,                0.61644,                0.32647,                 1.6151,                 1.5002,                 1.6307,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.5099,                  1.521,                 1.5273,                0.67964,                0.59288,                0.65439,                0.35991,                 1.5657,                 1.4278,                 1.5748,               0.001502,               0.001502,               0.001502
                     13,                 1.5049,                 1.5067,                 1.5202,                0.66903,                0.55429,                0.62646,                0.33682,                 1.5687,                 1.5156,                 1.5998,              0.0014855,              0.0014855,              0.0014855
                     14,                  1.499,                 1.5013,                 1.5267,                0.65245,                0.59526,                0.64046,                0.34687,                 1.5912,                 1.4337,                 1.5869,               0.001469,               0.001469,               0.001469
                     15,                 1.4862,                 1.4725,                   1.51,                0.68558,                0.59907,                0.66134,                0.37203,                 1.5246,                 1.3761,                  1.535,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.4677,                 1.4499,                 1.5027,                0.69538,                0.62794,                0.68548,                0.38814,                 1.5111,                 1.3196,                  1.526,               0.001436,               0.001436,               0.001436
                     17,                 1.4696,                 1.4378,                 1.5068,                0.69449,                0.60048,                0.67334,                0.37143,                 1.5344,                 1.3922,                 1.5545,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.4559,                 1.4249,                 1.4947,                0.69563,                 0.6263,                0.68279,                 0.3886,                 1.4952,                 1.3195,                 1.5147,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.4506,                 1.4069,                 1.4877,                 0.6861,                0.61406,                0.68381,                0.38729,                 1.4969,                 1.3505,                  1.507,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.4528,                 1.4059,                  1.485,                0.69853,                0.62258,                0.68787,                0.38329,                 1.5203,                 1.3199,                 1.5272,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.4508,                 1.3959,                 1.4889,                0.69871,                0.63728,                0.69484,                0.38428,                 1.5155,                  1.304,                 1.5057,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.4406,                 1.3895,                 1.4842,                0.69868,                0.62756,                0.69919,                0.39446,                 1.5168,                 1.2948,                 1.5117,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.4291,                  1.373,                 1.4718,                0.68781,                 0.6451,                0.68659,                 0.3888,                 1.5077,                  1.281,                 1.4974,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.4245,                 1.3506,                 1.4605,                0.71903,                0.61959,                0.70049,                0.39821,                 1.5104,                 1.3034,                 1.4998,              0.0013039,              0.0013039,              0.0013039
