                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0944,                 1.9765,                 1.2216,                0.70124,                 0.6271,                0.68733,                0.44506,                 1.0772,                 1.7597,                 1.2001,             0.00047363,             0.00047363,             0.00047363
                      2,                 1.1809,                 1.5887,                 1.2736,                0.61592,                0.55121,                0.58024,                0.37491,                 1.2128,                 1.6755,                 1.3807,             0.00094056,             0.00094056,             0.00094056
                      3,                 1.2495,                 1.4602,                 1.3048,                0.58165,                0.60462,                0.59594,                0.34292,                 1.2888,                  1.605,                 1.3911,              0.0013981,              0.0013981,              0.0013981
                      4,                  1.228,                 1.3534,                 1.2936,                0.70887,                 0.6054,                0.70439,                0.45702,                 1.1291,                 1.3761,                 1.2337,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2111,                 1.2549,                 1.2762,                0.75941,                0.66555,                0.75032,                0.50586,                 1.0392,                 1.0919,                 1.1895,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.1572,                 1.1819,                 1.2519,                0.75995,                0.70536,                0.77809,                0.51403,                 1.1196,                0.97154,                 1.2148,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.1171,                 1.1091,                 1.2225,                0.80733,                0.71655,                0.79271,                0.55622,                 1.0024,                0.90606,                 1.1595,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.1096,                 1.0757,                 1.2186,                0.78877,                0.69794,                0.76105,                0.53046,                0.93346,                 0.9415,                 1.1123,              0.0013441,              0.0013441,              0.0013441
                      9,                    1.1,                 1.0696,                 1.2035,                0.83897,                0.72952,                0.83984,                0.62691,                0.83782,                0.77282,                  1.051,                0.00133,                0.00133,                0.00133
                     10,                 1.0767,                 1.0139,                 1.2007,                0.83688,                0.72239,                 0.8194,                 0.5954,                0.93875,                 0.7884,                 1.0989,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.0511,                0.98074,                 1.1842,                 0.8017,                0.74083,                 0.8119,                0.59496,                0.91245,                0.80507,                 1.0902,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.0396,                0.97954,                  1.178,                0.83757,                0.76967,                0.84791,                0.60438,                0.92839,                0.74592,                 1.0903,              0.0012875,              0.0012875,              0.0012875
