                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4625,                 1.8826,                 1.3644,                0.33137,                0.42209,                0.25596,                0.14674,                 1.3712,                  2.319,                 1.3588,              0.0033257,              0.0033257,              0.0033257
                      2,                 1.5231,                 1.6017,                 1.4123,                0.30098,                0.34276,                 0.1961,                0.10329,                 1.6112,                 2.3553,                 1.5665,              0.0065931,              0.0065931,              0.0065931
                      3,                 1.6377,                 1.6846,                 1.5023,                0.27281,                0.31602,                0.17411,                0.08141,                 1.8511,                 3.0049,                 1.7397,              0.0097945,              0.0097945,              0.0097945
                      4,                 1.7269,                 1.7618,                 1.5818,                 0.2349,                0.24918,                0.14098,                0.06464,                 1.8627,                 2.9213,                 1.7729,               0.009703,               0.009703,               0.009703
                      5,                 1.6948,                 1.6914,                 1.5635,                 0.2822,                0.31449,                0.18449,                0.08736,                 1.7852,                 2.5385,                 1.6979,               0.009604,               0.009604,               0.009604
                      6,                 1.6889,                 1.6671,                 1.5596,                0.30555,                0.36862,                0.21029,                0.10675,                 1.7209,                 2.2836,                 1.6736,               0.009505,               0.009505,               0.009505
                      7,                 1.6589,                 1.6241,                   1.54,                0.30136,                0.35065,                0.20863,                0.10796,                 1.6743,                 2.4211,                 1.6331,               0.009406,               0.009406,               0.009406
                      8,                 1.6437,                 1.6024,                 1.5392,                0.29956,                0.35547,                0.21636,                0.10965,                 1.7242,                 2.3943,                 1.6488,               0.009307,               0.009307,               0.009307
                      9,                 1.6244,                  1.586,                 1.5274,                0.31133,                0.35065,                0.20962,                0.10572,                 1.6946,                 2.4048,                 1.6548,               0.009208,               0.009208,               0.009208
                     10,                  1.616,                 1.5681,                 1.5168,                0.34643,                0.36555,                 0.2422,                0.12927,                 1.6156,                 2.2111,                 1.5932,               0.009109,               0.009109,               0.009109
                     11,                 1.6001,                 1.5411,                 1.5087,                0.32783,                0.39053,                0.23458,                0.12314,                 1.6358,                 2.2919,                 1.5939,                0.00901,                0.00901,                0.00901
                     12,                 1.5882,                  1.518,                 1.5052,                0.31137,                 0.3844,                0.22169,                0.11581,                 1.6309,                 2.2617,                 1.6025,               0.008911,               0.008911,               0.008911
                     13,                 1.5843,                 1.4998,                 1.4952,                0.34036,                0.37782,                0.23623,                0.12838,                 1.6083,                 2.1928,                   1.59,               0.008812,               0.008812,               0.008812
                     14,                 1.5736,                 1.4897,                 1.4859,                0.34108,                 0.3822,                0.24236,                0.13409,                 1.5666,                 2.2129,                 1.5554,               0.008713,               0.008713,               0.008713
